Timestamp (s);Temperature (C);Light
2,5;21,81;572,00
4,0;21,81;572,00
5,5;21,81;609,00
7,5;21,81;604,00
9,0;21,81;604,00
10,5;21,81;607,00
12,0;21,75;606,00
14,0;21,81;607,00
15,5;21,81;607,00
17,0;21,81;608,00
19,0;21,81;608,00
20,5;21,81;606,00
22,0;21,81;576,00
24,0;21,81;576,00
25,5;21,81;575,00
27,0;21,81;573,00
28,5;21,81;576,00
30,5;21,81;576,00
32,0;21,81;575,00
33,5;21,81;573,00
35,5;21,81;529,00
37,0;21,81;527,00
38,5;21,81;573,00
40,5;21,81;573,00
42,0;21,81;573,00
43,5;21,81;531,00
45,0;21,81;532,00
47,0;21,81;531,00
48,5;21,81;532,00
50,0;21,81;532,00
52,0;21,81;532,00
53,5;21,81;574,00
55,0;21,81;463,00
57,0;21,81;465,00
58,5;21,81;464,00
60,0;21,81;463,00
61,5;21,81;464,00
63,5;21,81;465,00
65,0;21,81;464,00
66,5;21,81;463,00
68,5;21,81;464,00
70,0;21,81;578,00
71,5;21,81;407,00
73,5;21,81;406,00
75,0;21,81;408,00
76,5;21,81;409,00
78,0;21,81;578,00
80,0;21,81;464,00
81,5;21,81;465,00
83,0;21,81;464,00
85,0;21,81;578,00
86,5;21,81;407,00
88,0;21,81;409,00
90,0;21,81;410,00
91,5;21,81;408,00
93,0;21,81;408,00
94,5;21,81;409,00
96,5;21,81;408,00
98,0;21,81;578,00
99,5;21,81;362,00
101,5;21,81;361,00
103,0;21,81;360,00
104,5;21,81;361,00
106,5;21,81;360,00
108,0;21,81;362,00
109,5;21,81;362,00
111,5;21,81;362,00
113,0;21,81;362,00
114,5;21,87;361,00
116,0;21,87;362,00
118,0;21,81;363,00
119,5;21,81;362,00
121,0;21,81;362,00
123,0;21,81;362,00
124,5;21,81;361,00
126,0;21,81;361,00
128,0;21,81;362,00
129,5;21,81;362,00
131,0;21,81;361,00
132,5;21,81;362,00
134,5;21,81;362,00
136,0;21,81;361,00
137,5;21,87;360,00
139,5;21,81;362,00
141,0;21,81;362,00
142,5;21,81;361,00
144,5;21,81;361,00
146,0;21,81;362,00
147,5;21,81;362,00
149,0;21,81;361,00
151,0;21,81;362,00
152,5;21,81;363,00
154,0;21,81;362,00
156,0;21,81;361,00
157,5;21,87;362,00
159,0;21,87;362,00
161,0;21,87;361,00
162,5;21,87;361,00
164,0;21,81;362,00
165,5;21,81;363,00
167,5;21,87;361,00
169,0;21,81;362,00
170,5;21,87;363,00
172,5;21,87;361,00
174,0;21,81;362,00
175,5;21,87;362,00
177,5;21,87;361,00
179,0;21,87;359,00
180,5;21,87;362,00
182,0;21,87;361,00
184,0;21,87;361,00
185,5;21,87;362,00
187,0;21,87;362,00
189,0;21,81;361,00
190,5;21,87;360,00
192,0;21,87;361,00
194,0;21,87;360,00
